TIME,TIMECORR,CADENCENO,SAP_FLUX,SAP_FLUX_ERR,SAP_BKG,SAP_BKG_ERR,PDCSAP_FLUX,PDCSAP_FLUX_ERR,SAP_QUALITY,PSF_CENTR1,PSF_CENTR1_ERR,PSF_CENTR2,PSF_CENTR2_ERR,MOM_CENTR1,MOM_CENTR1_ERR,MOM_CENTR2,MOM_CENTR2_ERR,POS_CORR1,POS_CORR2
3156.9558727620824,0.005526442,149167,12850.647,3.941412,1864.3173,0.6827999,15276.646,4.7282104,0,,,,,967.8405557990916,0.00048022516,785.314457422987,0.00038787493,-0.18557869,-0.08356255
3156.976305270451,0.0055252505,149168,12855.859,3.9418995,1862.994,0.6834291,15281.084,4.7294707,0,,,,,967.8206033410399,0.0004806184,785.3143960846938,0.0003874584,-0.20634149,-0.083678864
3156.99673757836,0.0055240584,149169,12851.848,3.9397683,1863.8639,0.6844317,15271.079,4.7290096,0,,,,,967.8011983240609,0.00048204255,785.3161288879717,0.00038780802,-0.22540587,-0.08329393
3157.017169985804,0.005522866,149170,12863.485,3.9405515,1865.0743,0.68319404,15288.301,4.730981,0,,,,,967.7789312551456,0.00048217646,785.3138871254562,0.00038706927,-0.24711293,-0.08689091
3157.0376023927747,0.005521673,149171,12858.568,3.9397604,1864.3846,0.68124646,15286.46,4.731454,0,,,,,967.7573356265832,0.00048364387,785.3112341482856,0.00038740665,-0.26930085,-0.08838144
3157.0580347988216,0.005520479,149172,12851.085,3.9426007,1863.3005,0.68247926,15288.829,4.735618,0,,,,,967.7295558988416,0.00048528123,785.3075861114103,0.00038745927,-0.29677546,-0.09158792
3157.0784673048693,0.005519285,149173,12842.721,3.9414704,1865.7009,0.6868463,15282.92,4.7358413,0,,,,,967.7102948387978,0.00048655435,785.3080248467174,0.0003873973,-0.3179766,-0.09171359
3157.0988996104425,0.0055180904,149174,12830.636,3.937995,1864.6753,0.68419594,15277.301,4.7317424,0,,,,,967.683274859849,0.00048888836,785.3043244062819,0.00038792222,-0.34197354,-0.09397386
3157.1193320150924,0.005516895,149175,12862.414,3.9434285,1863.8666,0.68255556,,,1048576,,,,,967.7397827713082,0.00048469956,785.3116532737084,0.00038741608,-0.28618225,-0.08685479
3157.1397645192774,0.0055156993,149176,12880.238,3.944778,1862.9847,0.6826118,15287.073,4.7404304,0,,,,,967.726975315041,0.0004848481,785.3110755300698,0.00038692245,-0.29894745,-0.08775673
3157.160196822988,0.005514503,149177,12868.14,3.940415,1862.1929,0.6841414,15284.123,4.736924,0,,,,,967.7018271052473,0.00048648025,785.3081876505164,0.00038697725,-0.32479557,-0.08987269
3157.1806292267065,0.0055133067,149178,12858.621,3.9401913,1863.8188,0.68460107,15287.229,4.7369742,0,,,,,967.6757556313014,0.00048869057,785.3048939608378,0.00038730158,-0.34963012,-0.09279531
3157.2010617294945,0.0055121095,149179,12851.057,3.9395092,1863.3418,0.68467057,15285.42,4.736484,0,,,,,967.6534777890486,0.00049007934,785.3047644755259,0.0003871142,-0.37052423,-0.09294882
